sample_id,style_name_legacy,method,matched_df_style_id,matched_df_style_name,unresolved_reason
recuwynOY3hqCY0mW,Eliza,exact,recgpYuSCcxFFjSpA,Eliza,
recv5tcmHpJjzRgal,Esme,exact,recwleLHp6mQDhZBF,Esme,
recv6ETF0d2Izs7T8,Pauline,exact,recwuMNgShYLo2MNY,Pauline,
recv7c7XMacmrlIV2,Scout (Top),unresolved,,,no_match
recvEAPiOzIXkVIEu,Grosgrain Cathedral Veil,unresolved,,,no_match
recvMN0jLKeZitrKj,Veda (SW Twill),unresolved,,,no_match
recvQI7cMrgTYjoUc,Camille,exact,recc2leJaVZp0QmGL,Camille,
recvRFnYUYGwveLAs,Pauline,exact,recwuMNgShYLo2MNY,Pauline,
recvZhhXslwubcum3,Lena - Oxblood,fuzzy_prefix,recoRslK5nW1Kzujh,Lena,
recvdEuPqPqW7X4s5,Emerson,exact,recWi6TRIL11ez5h6,Emerson,
recvhTelwZhzQdbIi,Nala,exact,reczsIFKqV3o5hGn9,Nala,
recvjWSp74Lz7pIXL,Camille,exact,recc2leJaVZp0QmGL,Camille,
recvkTcbFunl2VH3W,Gemma,exact,rec2822G6XNfvKYAb,Gemma,
recvp3OvoaUpKVXFN,Brown Calfskin Belt,unresolved,,,no_match
recvqy0pxJCqmvI51,Simple Tulle Veil w/ Blusher,unresolved,,,no_match
recvr7zRCJmQQeDWM,Bobbie,unresolved,,,no_match
recvuCNsqqf6uYp8J,Priscilla Bustier,exact,recl4KEO8uetYosDe,Priscilla Bustier,
recvvaWs60IrHDyu9,Arizona Pearls,unresolved,,,no_match
recvw8EZWcyM8bYez,Lounge Set (Short Sleeve) - ICE BLUE,fuzzy_prefix,rec3zZAmq7z3dWfgp,Lounge Set,
recvwHtonmAR0Maa8,Marlow,exact,recB7Otkun8htDdzj,Marlow,
recw081m4BIHM1Awm,Cathedral Hankerchief Veil,unresolved,,,no_match
recw7OCCafkKoautV,Dylan (Unlined),fuzzy_prefix,recdTdSlcrOfInrXu,Dylan,
recw7yuj0jAuOFZOL,Lucia,unresolved,,,no_match
recwILCPlTPyMNZZw,Rebecca,exact,recwzvKRP623sOz1H,Rebecca,
recwL4fKtOjJGIFiC,Wendell,exact,recbsc7QDAou2M9dG,Wendell,
recwQ2teutdZkyFjC,Edie,exact,recETav1jBTQhyu33,Edie,
recwRt6cJkE5AEUsc,Maeve Stole,exact,recM0ZLe7hgdMdQHI,Maeve Stole,
recwTmN7of1cszznk,Babs,exact,recbbRcVuZR82juKl,Babs,
recwZ0gPO0ycbrLvK,Desi,exact,recLAJiCmA2BSoDAT,Desi,
recwZCx719tiXXjt3,Clara - Lace Applique,unresolved,,,no_match
recwccJQgIEPDbp8V,Remy,exact,recwHh6ulruNF1B7q,Remy,
recwgDKtsNN3YPfJ6,Jersey Headband White - WIDE,unresolved,,,no_match
recwgvEg2YjXPEORY,Anika Bustier SW,unresolved,,,no_match
recwhJUuFylQHO8es,Eliza,exact,recgpYuSCcxFFjSpA,Eliza,
recwilBYs5RibYdyd,Rumi (Printed Painted) ,unresolved,,,no_match
recwj8j052o1gpyq8,Pearl Disc Earrings ,exact,recjE0FL8qU1BtTYe,Pearl Disc Earrings,
recwjn5eRA1rLm5Ik,Paloma,unresolved,,,no_match
recx1536nCGgdt44Q,Andi,exact,rec8j6YygKpUISH5a,Andi,
recx21Llxs8Dqr100,Octavia,exact,rec5EBuhoLMt527FJ,Octavia,
recx2omjLn5dzVfdd,Charlie (Dahlia) ,fuzzy_prefix,recgj6FFJK6KPkxpa,Charlie,
recx6oLNMk6qXJPyN,Lottie,exact,recFxHaBYHiGRPPOj,Lottie,
recx8XB4zxKm37gmv,Eve,exact,rectpsrWpV6Byi8tY,Eve,
recxC9jYnsm3TKVAA,Vivienne,exact,recbFb9nHhoG7xIH9,Vivienne,
recxJJkWeL8SuO6ES,Pleated Tulle Veil,unresolved,,,no_match
recxJcFK7RHmBy0fM,Beatrice - Ivory ,fuzzy_prefix,rec2l2yQGkfi0HUJs,Beatrice,
recxNYgJ2qjheEViL,Nina,exact,recm7PpLM9wscuWmN,Nina,
recxSnQygCeS4f4xi,Lace Mended Veil,unresolved,,,no_match
recxVQp35nZCvG9LP,Mackenzie,exact,recbSnZa9XpScdytK,Mackenzie,
recxVWSZishtWgIvz,Willow,exact,recg83Qfo7sAh6ytg,Willow,
recxVnWDYE5YnnRkd,Samantha,exact,rec8hAP1wG3QwB2EC,Samantha,
recxZT6DMQDH0HbyT,Kennedy,exact,recLWVKfMp3FRrt7a,Kennedy,
recxcpVtVjZzY7KkU,Violette,exact,recOaEexmbMMgC5WF,Violette,
recxkI6i3ayhBhWWT,,unresolved,,,blank_legacy_name
recxnDZqLkmLCXI1u,Noemi,exact,rec0g1uAyI2HUZyVM,Noemi,
recxoR7ExeMlOUzzd,Sasha (altered),fuzzy_prefix,recBCfoFXP3p3VPvf,Sasha,
recxptbkD1aqKIKyK,Bruna,exact,recTtXnpWn3njbrtP,Bruna,
recxtOH6EIXLsXIRK,Chantilly Border Veil w/ Blusher,unresolved,,,no_match
recxw8WMVMqADR7Af,Devon ,exact,rec4EWE6O5J928Kny,Devon,
recxzKFGjcV2KdZn7,Penta Star Tiara,exact,recK3H7IbYAMQwH2s,Penta Star Tiara,
recxzqALX91iC8cnG,Simple Tulle Veil,unresolved,,,no_match
